epoch,loss,val_loss
0,0.0935758501291275,0.0777646154165268
1,0.04302417114377022,0.06781423836946487
2,0.03367023169994354,0.059555310755968094
3,0.02965635061264038,0.057520266622304916
4,0.02734597586095333,0.060371290892362595
5,0.025790566578507423,0.0570252500474453
6,0.024619214236736298,0.05865989625453949
7,0.023752033710479736,0.05644789710640907
8,0.023028573021292686,0.05551062524318695
9,0.022404830902814865,0.05420137941837311
10,0.018818289041519165,0.0548899844288826
11,0.01847214251756668,0.05494644120335579
12,0.018283870071172714,0.0554826557636261
13,0.01813984289765358,0.05496847629547119
14,0.01801040768623352,0.055285148322582245
15,0.017626551911234856,0.05477871000766754
16,0.017606565728783607,0.054682355374097824
17,0.017597144469618797,0.054780263453722
18,0.017576370388269424,0.05501198768615723
19,0.017561594024300575,0.05474594235420227
