epoch,loss,val_loss
0,0.061802271753549576,0.06976061314344406
1,0.0422746017575264,0.0724797248840332
2,0.03673949092626572,0.06945786625146866
3,0.03398575633764267,0.06658720225095749
4,0.03216583654284477,0.06955137103796005
5,0.030822204425930977,0.06429878622293472
6,0.02972659468650818,0.06748876720666885
7,0.02897636778652668,0.06637218594551086
8,0.028356030583381653,0.06619419157505035
9,0.02780689299106598,0.06322392076253891
10,0.023959806188941002,0.06379810720682144
11,0.02358119748532772,0.0654466524720192
12,0.023395651951432228,0.06441637873649597
13,0.023265177384018898,0.06545578688383102
14,0.023143697530031204,0.06492941826581955
15,0.022766709327697754,0.06476882100105286
16,0.02273119054734707,0.06448794901371002
17,0.022718951106071472,0.0649244487285614
18,0.022699302062392235,0.06471750140190125
19,0.022688768804073334,0.06436797231435776
